"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"DENUNCIA DE ROBO O HURTO","2018-11-01","1991-06-12",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1991","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1958","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-23","1996-11-25",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1996","","BERLINA 3 PTAS","37","RENAULT","BD","CLIO RN 3PTAS. AA","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","No identificado","1994","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-12","2000-11-10",1078,"LA MATANZA Nº 01","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1965","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-23","1998-07-30",1104,"BERAZATEGUI Nº 1","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","BERAZATEGUI","BUENOS AIRES","Masculino","1970","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-16","1991-02-22",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","1991","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","RAMOS MEJIA","BUENOS AIRES","No identificado","1987","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-26","2013-03-27",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2013","","FURGON VID.C/ASIENTO","34","PEUGEOT","LJ","PARTNER CONFORT HDI 1.6","","","Física","RAMOS MEJIA-LA MATANZA","BUENOS AIRES","No identificado","1989","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-27","2000-07-31",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1982","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-26","2007-01-10",1119,"MORON Nº 03","Buenos Aires","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","HAEDO","BUENOS AIRES","Masculino","1975","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-06","2009-03-11",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","LA TABLADA","BUENOS AIRES","Femenino","1966","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-22","1999-06-22",1136,"ADROGUE Nº 2","Buenos Aires","Nacional","1999","","BERLINA 3PTAS","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","ALTE BROWN","BUENOS AIRES","Femenino","1961","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-16","2001-01-03",1144,"QUILMES Nº 3","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","QUILMES","BUENOS AIRES","Femenino","1981","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-09","1998-11-06",1146,"MERLO Nº 2","Buenos Aires","Importado","1998","","MIDIBUS","063","IVECO","130","TURBO DAILY 49-10","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1941","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-06","2009-01-13",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","AVELLANEDA","BUENOS AIRES","No identificado","1992","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-30","2000-02-17",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","07","CITROEN","07","BERLINGO NPL","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1986","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-20","1990-08-17",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","1990","","PICK UP CAJA MUDANCE","19","FORD","11","F-100","1","Privado","Física","LAFERRERE","BUENOS AIRES","Femenino","1983","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-09","2006-09-27",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1972","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-30","2006-06-30",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-22","1993-05-11",1156,"HURLINGHAM Nº 1 (EX. MORON Nº 4)","Buenos Aires","Nacional","1993","","CH.C/CAB.C/EQ.FRIO","29","MERCEDES BENZ","44","L 710/42","1","Privado","Física","VILLA TESEI","BUENOS AIRES","Masculino","1948","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-28","1981-01-14",1157,"MORON Nº 05","Buenos Aires","Nacional","1981","","TTE.DE CARGA","29","MERCEDES BENZ","08","L1114/48","1","Privado","Física","VILLA SARMIENTO","BUENOS AIRES","Masculino","1992","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-02","2003-07-08",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","2003","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 600 KG PLC","1","Privado","Física","LUIS GUILLON- E.ECHEVERRIA","BUENOS AIRES","No identificado","1952","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-20","1983-06-29",1176,"SAN ISIDRO Nº 05","Buenos Aires","Nacional","1983","","CAMION TRACTOR","17","FIAT","13","619 T1","1","Privado","Física","SAN ISIDRO","BUENOS AIRES","No identificado","1973","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-21","2006-03-03",1179,"SAN MARTIN Nº 5","Buenos Aires","Nacional","2006","","FURGON VIDRIADO C/AS","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Masculino","1968","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-20","1999-06-01",1183,"OLIVOS Nº 06","Buenos Aires","Nacional","1999","","BERLINA 3 PUERTAS","37","RENAULT","CC","CLIO RL DIESEL 3 PUERTAS","1","Privado","Física","MUNRO","BUENOS AIRES","Femenino","1999","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-07","1998-12-03",1198,"SAN ISIDRO Nº 07","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","VILLA ADELINA","BUENOS AIRES","Masculino","1969","Argentina",33,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-07","2008-08-19",1200,"SAN MARTIN Nº 6","Buenos Aires","Importado","2008","","FURGON DE CARGA","072","KIA","170","K-2700","1","Privado","Física","VILLA MAIPU","BUENOS AIRES","No identificado","1990","Argentina",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-30","2000-06-30",1201,"MAR DEL PLATA Nº 08","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1963","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-05","2010-05-20",1216,"QUILMES Nº 7","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","SAN FRANCISCO SOLANO","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-20","2005-05-10",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2005","","MICROOMNIBUS","29","MERCEDES BENZ","AR","BMO 390 VERSION 1115L/46 CA","2","Público","Física","VIRREY DEL PINO","BUENOS AIRES","No identificado","1979","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-22","1998-04-14",1226,"LA MATANZA Nº 09","Buenos Aires","Importado","1998","","FURGON VID.C/ASIENT.","136","VOLKSWAGEN","131","TRANSPORTER","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","No identificado","1961","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-15","1998-01-13",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1998","","BERLINA 5 PUERTAS","37","RENAULT","BV","CLIO RN 5 PTAS. A.A.","1","Privado","Física","LAFERRERE","BUENOS AIRES","No identificado","1989","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-27","2000-04-28",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2000","","BERLINA 5 PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Femenino","1977","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-27","2006-08-09",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Nacional","2006","","FURGON VIDRIADO C/AS","37","RENAULT","NP","KANGOO RL EXPRESS DIE 1PCL AA","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1960","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-05","2000-09-08",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Nacional","2000","","BERLINA 3 PUERTAS","37","RENAULT","EL","CLIO RL DIESEL 3 P DA","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1987","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-07","1999-11-25",1250,"ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11)","Buenos Aires","Nacional","1999","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","AC","PARTNER D PL","1","Privado","Física","ITUZAINGO","BUENOS AIRES","Masculino","1985","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-27","1995-03-06",1250,"ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11)","Buenos Aires","Importado","1994","","AUTOMOVIL","044","FIAT","042","UNO CS 1.5 IE","1","Privado","Física","ITUZAINGÓ","BUENOS AIRES","Masculino","1974","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-15","2011-04-25",1251,"LANUS Nº 8","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","V. CARAZA","BUENOS AIRES","Masculino","1939","Italia",100,"06","ITA"
"DENUNCIA DE ROBO O HURTO","2018-11-16","1999-06-04",1253,"LA PLATA Nº 13","Buenos Aires","Nacional","1999","","FURGON VIDRIADO C/AS","37","RENAULT","EE","KANGOO RL EXPRESS DIE DA","1","Privado","Física","TOLOSA","BUENOS AIRES","Masculino","1973","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-15","1989-11-07",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","1989","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Femenino","1962","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-30","1994-11-04",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","1994","","FURGON TERMICO","19","FORD","16","F-100 DIESEL","1","Privado","Jurídica","TEMPERLEY - LOMAS DE ZAMORA","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO","2018-11-02","2005-10-19",1256,"TRES DE FEBRERO Nº 6","Buenos Aires","Nacional","2005","","FURGON VIDRIADO C/AS","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","PABLO PODESTA","BUENOS AIRES","No identificado","1962","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-13","2006-03-07",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","TORTUGUITAS","BUENOS AIRES","No identificado","1971","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-23","1994-01-12",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","1994","","FURGON VIDRIADO C/AS","37","RENAULT","34","RENAULT TRAFIC","1","Privado","Física","GRAND BOURG","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-29","1987-05-22",1269,"LA MATANZA Nº 12","Buenos Aires","Nacional","1987","","BERLINA 5 PTAS","37","RENAULT","42","RENAULT 11 GTL","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Masculino","1947","Argentina",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-28","2007-08-09",1271,"JOSE C. PAZ Nº 2","Buenos Aires","Nacional","2007","","FURGON VID C/ASIENTO","37","RENAULT","TG","KANGOO EXP GENERIQUE 1,9 D","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","No identificado","1974","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-12","1999-09-14",1272,"LA PLATA Nº 14","Buenos Aires","Nacional","1999","","FURGON VIDRIADO C/AS","07","CITROEN","03","BERLINGO FUD","1","Privado","Física","MELCHOR ROMERO","BUENOS AIRES","Femenino","1959","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-28","1997-11-25",1273,"MORENO Nº 4","Buenos Aires","Nacional","1997","","CAMION TRACTOR","67","IVECO","07","45OE41HT","1","Privado","Física","TRUJUY","BUENOS AIRES","No identificado","1983","Argentina",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-23","1999-01-20",1280,"ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ)","Buenos Aires","Nacional","1999","","RURAL 4 PTAS","19","FORD","69","ESCORT RURAL CLX 1.8 45B","1","Privado","Física","MASCHWITZ","BUENOS AIRES","Masculino","1980","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-16","2001-03-14",1293,"PILAR Nº 4","Buenos Aires","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","MANUEL ALBERTI","BUENOS AIRES","No identificado","1989","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-08","2007-07-02",1294,"LA PLATA Nº 16","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/AS","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","ARTURO SEGUI","BUENOS AIRES","Femenino","1980","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-16","1996-01-04",2006,"CAPITAL FEDERAL Nº 006","Ciudad Autónoma de Bs.As.","Nacional","1996","","CHASIS C/CAB P/CAM","29","MERCEDES BENZ","80","BM688 VERSION 710","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1961","No identificado",100,"02",""
"DENUNCIA DE ROBO O HURTO","2018-11-06","1987-12-03",2011,"CAPITAL FEDERAL Nº 011","Ciudad Autónoma de Bs.As.","Nacional","1987","","BERLINA 5 PTAS.","37","RENAULT","43","11 TSE","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1978","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-23","1986-11-27",2026,"CAPITAL FEDERAL Nº 026","Ciudad Autónoma de Bs.As.","Nacional","1986","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1947","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-06","1983-10-13",2031,"CAPITAL FEDERAL Nº 031","Ciudad Autónoma de Bs.As.","Nacional","1983","","COUPE 2 PUERTAS","37","RENAULT","14","RENAULT FUEGO GTX","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1970","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-05","1995-10-06",2047,"CAPITAL FEDERAL Nº 047","Ciudad Autónoma de Bs.As.","Nacional","1995","","BERLINA","37","RENAULT","19","RENAULT 11 RL","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1967","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-14","2000-01-17",2047,"CAPITAL FEDERAL Nº 047","Ciudad Autónoma de Bs.As.","Nacional","2000","","BERLINA 5 PTAS","37","RENAULT","DU","CLIO RN 5 PTAS PACK AA DA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1992","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-13","2000-01-03",2051,"CAPITAL FEDERAL Nº 051","Ciudad Autónoma de Bs.As.","Nacional","2000","","3 PTAS","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL -3P","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1991","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-07","2006-10-13",2062,"CAPITAL FEDERAL Nº 062","Ciudad Autónoma de Bs.As.","Nacional","2006","","FOURGON COURT TYPE 600","07","CITROEN","39","BERLINGO FURGON 1.9D PLC","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2014","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO","2018-11-26","1997-12-18",2063,"CAPITAL FEDERAL Nº 063","Ciudad Autónoma de Bs.As.","Nacional","1997","","BERLINA 5 PTS.","37","RENAULT","BD","CLIO RN 5 PTAS. AA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1987","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2018-11-01","1994-04-04",2074,"CAPITAL FEDERAL Nº 074","Ciudad Autónoma de Bs.As.","Nacional","1994","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1947","Argentina",100,"02","ARG"
